nohup: ignoring input
2020-03-08 12:14:11 INFO: At 1-th epoch.
2020-03-08 12:17:06 DEBUG: g loss at batch 231: 11.354, batch size: 234, lr=0.001
2020-03-08 12:17:06 DEBUG: g loss at batch 232: 11.351, batch size: 234, lr=0.001
2020-03-08 12:17:07 DEBUG: g loss at batch 233: 11.355, batch size: 234, lr=0.001
2020-03-08 12:17:08 DEBUG: g loss at batch 234: 11.349, batch size: 234, lr=0.001
2020-03-08 12:17:09 DEBUG: g loss at batch 235: 11.343, batch size: 234, lr=0.001
2020-03-08 12:17:09 DEBUG: g loss at batch 236: 11.336, batch size: 234, lr=0.001
2020-03-08 12:17:10 DEBUG: g loss at batch 237: 11.330, batch size: 234, lr=0.001
2020-03-08 12:17:11 DEBUG: g loss at batch 238: 11.322, batch size: 234, lr=0.001
2020-03-08 12:17:11 DEBUG: g loss at batch 239: 11.318, batch size: 234, lr=0.001
2020-03-08 12:17:12 DEBUG: g loss at batch 240: 11.313, batch size: 234, lr=0.001
2020-03-08 12:17:13 DEBUG: g loss at batch 241: 11.313, batch size: 234, lr=0.001
2020-03-08 12:17:13 DEBUG: g loss at batch 242: 11.307, batch size: 234, lr=0.001
2020-03-08 12:17:14 DEBUG: g loss at batch 243: 11.309, batch size: 234, lr=0.001
2020-03-08 12:17:15 DEBUG: g loss at batch 244: 11.305, batch size: 234, lr=0.001
2020-03-08 12:17:15 DEBUG: g loss at batch 245: 11.296, batch size: 234, lr=0.001
2020-03-08 12:17:16 DEBUG: g loss at batch 246: 11.288, batch size: 234, lr=0.001
2020-03-08 12:17:17 DEBUG: g loss at batch 247: 11.284, batch size: 234, lr=0.001
2020-03-08 12:17:17 DEBUG: g loss at batch 248: 11.283, batch size: 234, lr=0.001
2020-03-08 12:17:18 DEBUG: g loss at batch 249: 11.280, batch size: 234, lr=0.001
2020-03-08 12:17:19 DEBUG: g loss at batch 250: 11.276, batch size: 234, lr=0.001
2020-03-08 12:17:19 DEBUG: g loss at batch 251: 11.273, batch size: 234, lr=0.001
2020-03-08 12:17:20 DEBUG: g loss at batch 252: 11.268, batch size: 234, lr=0.001
2020-03-08 12:17:21 DEBUG: g loss at batch 253: 11.266, batch size: 234, lr=0.001
2020-03-08 12:17:21 DEBUG: g loss at batch 254: 11.277, batch size: 234, lr=0.001
2020-03-08 12:17:22 DEBUG: g loss at batch 255: 11.273, batch size: 234, lr=0.001
2020-03-08 12:17:22 DEBUG: g loss at batch 256: 11.268, batch size: 234, lr=0.001
2020-03-08 12:17:23 DEBUG: g loss at batch 257: 11.261, batch size: 234, lr=0.001
2020-03-08 12:17:24 DEBUG: g loss at batch 258: 11.264, batch size: 234, lr=0.001
2020-03-08 12:17:24 DEBUG: g loss at batch 259: 11.254, batch size: 234, lr=0.001
2020-03-08 12:17:25 DEBUG: g loss at batch 260: 11.255, batch size: 234, lr=0.001
2020-03-08 12:17:25 DEBUG: g loss at batch 261: 11.253, batch size: 234, lr=0.001
2020-03-08 12:17:26 DEBUG: g loss at batch 262: 11.247, batch size: 234, lr=0.001
2020-03-08 12:17:27 DEBUG: g loss at batch 263: 11.242, batch size: 234, lr=0.001
2020-03-08 12:17:27 DEBUG: g loss at batch 264: 11.238, batch size: 234, lr=0.001
2020-03-08 12:17:28 DEBUG: g loss at batch 265: 11.233, batch size: 234, lr=0.001
2020-03-08 12:17:29 DEBUG: g loss at batch 266: 11.218, batch size: 234, lr=0.001
2020-03-08 12:17:29 DEBUG: g loss at batch 267: 11.219, batch size: 234, lr=0.001
2020-03-08 12:17:30 DEBUG: g loss at batch 268: 11.213, batch size: 234, lr=0.001
2020-03-08 12:17:31 DEBUG: g loss at batch 269: 11.212, batch size: 234, lr=0.001
2020-03-08 12:17:31 DEBUG: g loss at batch 270: 11.213, batch size: 234, lr=0.001
2020-03-08 12:17:32 DEBUG: g loss at batch 271: 11.208, batch size: 234, lr=0.001
2020-03-08 12:17:33 DEBUG: g loss at batch 272: 11.205, batch size: 234, lr=0.001
2020-03-08 12:17:33 DEBUG: g loss at batch 273: 11.199, batch size: 234, lr=0.001
2020-03-08 12:17:34 DEBUG: g loss at batch 274: 11.193, batch size: 234, lr=0.001
2020-03-08 12:17:35 DEBUG: g loss at batch 275: 11.191, batch size: 234, lr=0.001
2020-03-08 12:17:35 DEBUG: g loss at batch 276: 11.184, batch size: 234, lr=0.001
2020-03-08 12:17:36 DEBUG: g loss at batch 277: 11.182, batch size: 234, lr=0.001
2020-03-08 12:17:37 DEBUG: g loss at batch 278: 11.182, batch size: 234, lr=0.001
2020-03-08 12:17:37 DEBUG: g loss at batch 279: 11.168, batch size: 234, lr=0.001
2020-03-08 12:17:38 DEBUG: g loss at batch 280: 11.164, batch size: 234, lr=0.001
2020-03-08 12:17:39 DEBUG: g loss at batch 281: 11.159, batch size: 234, lr=0.001
2020-03-08 12:17:39 DEBUG: g loss at batch 282: 11.156, batch size: 234, lr=0.001
2020-03-08 12:17:40 DEBUG: g loss at batch 283: 11.155, batch size: 234, lr=0.001
2020-03-08 12:17:41 DEBUG: g loss at batch 284: 11.150, batch size: 234, lr=0.001
2020-03-08 12:17:41 DEBUG: g loss at batch 285: 11.145, batch size: 234, lr=0.001
2020-03-08 12:17:42 DEBUG: g loss at batch 286: 11.164, batch size: 234, lr=0.001
2020-03-08 12:17:43 DEBUG: g loss at batch 287: 11.164, batch size: 234, lr=0.001
2020-03-08 12:17:43 DEBUG: g loss at batch 288: 11.154, batch size: 234, lr=0.001
2020-03-08 12:17:44 DEBUG: g loss at batch 289: 11.162, batch size: 234, lr=0.001
2020-03-08 12:17:44 DEBUG: g loss at batch 290: 11.161, batch size: 234, lr=0.001
2020-03-08 12:17:45 DEBUG: g loss at batch 291: 11.154, batch size: 234, lr=0.001
2020-03-08 12:17:46 DEBUG: g loss at batch 292: 11.152, batch size: 234, lr=0.001
